PARTIDA,descripcion
46220,Consultoría de Línea para Construcciones de Bienes Públicos de Dominio Público.
46300,"Consultoría para capacitación, transferencia de tecnología y organización para p"
46310,Consultoría por Producto
46320,Consultoría de Línea
49000,Otros Activos
49100,Activos Intangibles
49300,Activos de Origen Animal
49400,Activos Museológicos y Culturales
49500,Activos de Origen Vegetal
51000,"Compra de Acciones, Participaciones de Capital e Inversiones"
51100,Acciones y Participaciones de Capital en Empresas Privadas Nacionales
51200,Acciones y Participaciones de Capital en Empresas Públicas Nacionales
51300,Acciones y Participaciones de Capital en Empresas Públicas Territoriales
51310,Del Gobierno Autónomo Departamental
51320,Del Gobierno Autónomo Municipal
51330,Del Gobierno Autónomo Indígena Originario Campesino
51340,Del Gobierno Autónomo Regional
51500,Acciones y Participaciones de Capital en Instituciones Públicas Financieras No B
51600,Acciones y Participaciones de Capital en Instituciones Públicas Financieras Banc
51700,Acciones y Participaciones de Capital en Organismos Internacionales
51800,Otras Acciones y Participaciones de Capital en el Exterior
51900,Inversiones en el Exterior
52000,Concesión de Préstamos a Corto Plazo al Sector Público No Financiero
52100,Concesión de Préstamos a Corto Plazo a los Órganos del Estado Plurinacional
52200,Concesión de Préstamos a Corto Plazo a Instituciones Públicas Descentralizadas
52400,Concesión de Préstamos a Corto Plazo a Entidades Territoriales Autónomas
52410,Gobierno Autónomo Departamental
52420,Gobierno Autónomo Municipal
52430,Gobierno Autónomo Indígena Originario Campesino
52440,Gobierno Autónomo Regional
52600,Concesión de Préstamos a Corto Plazo a Instituciones de Seguridad Social
52700,Concesión de Préstamos a Corto Plazo a Empresas Públicas Nacionales
52800,Concesión de Préstamos a Corto Plazo a Empresas Públicas Territoriales
52810,Del Gobierno Autónomo Departamental
52820,Del Gobierno Autónomo Municipal
52830,Del Gobierno Autónomo Indígena Originario Campesino
52840,Del Gobierno Autónomo Regional
53000,Concesión de Préstamos a Largo Plazo al Sector Público No Financiero
53100,Concesión de Préstamos a Largo Plazo a los Órganos del Estado Plurinacional
53200,Concesión de Préstamos a Largo Plazo a Instituciones Públicas Descentralizadas
53400,Concesión de Préstamos a Largo Plazo a Entidades Territoriales Autónomas
53410,Gobierno Autónomo Departamental
53420,Gobierno Autónomo Municipal
53430,Gobierno Autónomo Indígena Originario Campesino
53440,Gobierno Autónomo Regional
53600,Concesión de Préstamos a Largo Plazo a Instituciones de Seguridad Social
53700,Concesión de Préstamos a Largo Plazo a Empresas Públicas Nacionales
53800,Concesión de Préstamos a Largo Plazo a Empresas Públicas Territoriales
53810,Del Gobierno Autónomo Departamental
53820,Del Gobierno Autónomo Municipal
53830,Del Gobierno Autónomo Indígena Originario Campesino
53840,Del Gobierno Autónomo Regional
54000,Concesión de Préstamos al Sector Público Financiero y a los Sectores Privado y d
54100,Concesión de Préstamos a Corto Plazo a Instituciones Públicas Financieras No Ban
54200,Concesión de Préstamos a Corto Plazo a Instituciones Públicas Financieras Bancar
54300,Concesión de Préstamos a Corto Plazo al Sector Privado
54400,Concesión de Préstamos a Corto Plazo al Exterior
54600,Concesión de Préstamos a Largo Plazo a Instituciones Públicas Financieras No Ban
54700,Concesión de Préstamos a Largo Plazo a Instituciones Públicas Financieras Bancar
54800,Concesión de Préstamos a Largo Plazo al Sector Privado
54900,Concesión de Préstamos a Largo Plazo al Exterior
55000,Compra de Títulos y Valores
55100,Títulos y Valores a Corto Plazo
55110,Letras del Tesoro
55120,Bonos del Tesoro
55200,Títulos y Valores a Largo Plazo
55210,Letras del Tesoro
55220,Bonos del Tesoro
56000,Constitución de Fideicomisos y Servicios Financieros
56100,Colocación de Fondos en Fideicomiso
56200,Concesiones de Recursos de Fideicomisos
56300,Colocación de Fondos por Servicios Financieros
57000,Incremento de Disponibilidades
57100,Incremento de Caja y Bancos
57200,Incremento de Inversiones Temporales
58000,Incremento de Cuentas y Documentos por Cobrar y Otros Activos Financieros
58100,Incremento de Cuentas por Cobrar a Corto Plazo
58200,Incremento de Documentos por Cobrar y Otros Activos Financieros a Corto Plazo Ap
58210,Incremento de Documentos por Cobrar a Corto Plazo
58220,Incremento de Otros Activos Financieros a Corto Plazo
58300,Incremento de Cuentas por Cobrar a Largo Plazo
58400,Incremento de Documentos por Cobrar y Otros Activos Financieros a Largo Plazo Ap
58410,Incremento de Documentos por Cobrar a Largo Plazo
58420,Incremento de Otros Activos Financieros a Largo Plazo
59000,Afectaciones al Tesoro General de la Nación
59100,Afectaciones al Tesoro General de la Nación
61000,Servicio de la Deuda Pública Interna
61100,Amortización de la Deuda Pública Interna a Corto Plazo
61200,Intereses de la Deuda Pública Interna a Corto Plazo
61300,Comisiones y Otros Gastos de la Deuda Pública Interna a Corto Plazo
61400,Intereses por Mora y Multas de la Deuda Pública Interna a Corto Plazo
61600,Amortización de la Deuda Pública Interna a Largo Plazo
61700,Intereses de la Deuda Pública Interna a Largo Plazo
61800,Comisiones y Otros Gastos de la Deuda Pública Interna a Largo Plazo
61900,Intereses por Mora y Multas de la Deuda Pública Interna a Largo Plazo
62000,Servicio de la Deuda Pública Externa
62100,Amortización de la Deuda Pública Externa a Corto Plazo
62200,Intereses de la Deuda Pública Externa a Corto Plazo
62300,Comisiones y Otros Gastos de la Deuda Pública Externa a Corto Plazo
62400,Intereses por Mora y Multas de la Deuda Pública Externa a Corto Plazo
62600,Amortización de la Deuda Pública Externa a Largo Plazo
62700,Intereses de la Deuda Pública Externa a Largo Plazo
62800,Comisiones y Otros Gastos de la Deuda Pública Externa a Largo Plazo
62900,Intereses por Mora y Multas de la Deuda Pública Externa a Largo Plazo
63000,Disminución de Cuentas por Pagar a Corto Plazo
63100,Disminución de Cuentas por Pagar a Corto Plazo por Deudas Comerciales con Provee
63200,Disminución de Cuentas por Pagar a Corto Plazo con Contratistas
63300,Disminución de Cuentas por Pagar a Corto Plazo por Sueldos y Jornales
63400,Disminución de Cuentas por Pagar a Corto Plazo por Aportes Patronales
63500,Disminución de Cuentas por Pagar a Corto Plazo por Retenciones
63600,"Disminución de Cuentas por Pagar a Corto Plazo por Impuestos, Regalías y Tasas"
63700,Disminución de Cuentas por Pagar a Corto Plazo por Jubilaciones y Pensiones
63800,Disminución de Cuentas por Pagar a Corto Plazo por Intereses
63900,Disminución de Otros Pasivos y Otras Cuentas por Pagar a Corto Plazo
64000,Disminución de Cuentas por Pagar a Largo Plazo
64100,Disminución de Cuentas por Pagar a Largo Plazo por Deudas Comerciales
64200,Disminución de Otras Cuentas por Pagar a Largo Plazo
65000,Gastos Devengados No Pagados – TGN
65100,Gastos Devengados No Pagados por Servicios Personales
65200,"Gastos Devengados No Pagados por Servicios No Personales, Materiales y Suministr"
65210,Gastos Devengados No Pagados por Servicios No Personales
65220,Gastos Devengados No Pagados por Materiales y Suministros
65230,Gastos Devengados No Pagados por Activos Reales
65240,Gastos Devengados No Pagados por Activos Financieros
65300,Gastos Devengados No Pagados por Transferencias
65400,Gastos Devengados No Pagados por Retenciones
65500,Gastos Devengados No Pagados por Intereses Deuda Pública Interna
65600,Gastos Devengados No Pagados por Intereses Deuda Pública Externa
65700,Gastos Devengados No Pagados por Comisiones Deuda Pública Interna
65800,Gastos Devengados No Pagados por Comisiones Deuda Pública Externa
65900,Otros Gastos Devengados No Pagados
66000,Gastos Devengados No Pagados – Otras Fuentes
66100,Gastos Devengados No Pagados por Servicios Personales
66200,"Gastos Devengados No Pagados por Servicios No Personales, Materiales y Suministr"
66210,Gastos Devengados No Pagados por Servicios No Personales
66220,Gastos Devengados No Pagados por Materiales y Suministros
66230,Gastos Devengados No Pagados por Activos Reales
66240,Gastos Devengados No Pagados por Activos Financieros
66250,Gastos Devengados No Pagados por Servicio de la Deuda
66300,Gastos Devengados No Pagados por Transferencias
66400,Gastos Devengados No pagados por Retenciones
66900,Otros Gastos No Pagados
67000,Obligaciones por Afectaciones al Tesoro General de la Nación
67100,Obligaciones por Afectaciones al Tesoro General de la Nación
68000,Disminución de Otros Pasivos
68200,Pago de Beneficios Sociales
69000,Devolución de Fondos - Fideicomisos
69100,Devolución de Fondos - Fideicomiso de Corto Plazo
69200,Devolución de Fondos - Fideicomiso de Largo Plazo
71000,Transferencias Corrientes al Sector Privado
71100,Pensiones y Jubilaciones
71210,Becas de Estudios Otorgadas a los Servidores Públicos
71220,Becas de Estudios Otorgadas a los Estudiantes Universitarios
71230,Becas de Estudios Otorgadas a Particulares
71300,"Donaciones, Ayudas Sociales y Premios a Personas"
71500,Subsidios a Personas ó Instituciones Privadas
71600,Subsidios y Donaciones a Personas e Instituciones Privadas sin Fines de Lucro Su
71610,A Personas e Instituciones Privadas sin Fines de Lucro
71630,Otros de Carácter Social Establecidos por Norma Legal
71700,Subvenciones Económicas a Empresas
71800,Pensiones Vitalicias
71900,Transferencias por las Compras de Control Tributario
72000,Transferencias Corrientes al Sector Público No Financiero por Participación en T
72200,"Transferencias   Corrientes   a   Instituciones   Públicas   Descentralizadas,  "
72400,Transferencias Corrientes al Gobierno Autónomo Departamental por Participación e
72410,Para Educación
72500,Transferencias Corrientes a los Gobiernos Autónomos Municipales e Indígena Origi
72510,Para Salud
73000,Transferencias Corrientes al Sector Público No Financiero por Subsidios o Subven
73100,Transferencias Corrientes al Órgano Ejecutivo del Estado Plurinacional por Subsi
73200,"Transferencias Corrientes a los Órganos Legislativo, Judicial y Electoral, Entid"
73300,Transferencias Corrientes del Fondo Compensatorio Nacional de Salud
73400,Transferencias   Corrientes   a   Entidades   Territoriales   Autónomas   por   
73410,Gobierno Autónomo Departamental
73420,Gobierno Autónomo Municipal
73430,Gobierno Autónomo Indígena Originario Campesino
73440,Gobierno Autónomo Regional
73600,Transferencias   Corrientes   a   Instituciones   de   Seguridad   Social   por 
73700,Transferencias Corrientes a Empresas Públicas Nacionales por Subsidios o Subvenc
73800,Transferencias Corrientes a Empresas Públicas de las Entidades Territoriales Aut
73810,Empresas Públicas Departamentales
73820,Empresas Públicas Municipales
73830,Empresas Públicas Indígenas Originarias Campesinas
73840,Empresas Públicas Regionales
74000,Transferencias Corrientes al Sector Público Financiero
74100,Transferencias Corrientes a Instituciones Públicas Financieras No Bancarias
74200,Transferencias Corrientes a Instituciones Públicas Financieras Bancarias
75000,Transferencias de Capital al Sector Privado
75100,Transferencias de Capital a Personas
75110,En Efectivo
75120,En Especie
75200,Transferencias de Capital a Instituciones Privadas sin Fines de Lucro
75210,A Instituciones Privadas sin Fines de Lucro
75211,En Efectivo
75212,En Especie
75220,Otras de carácter económico – productivo
75221,En Efectivo
75222,En Especie
75300,Transferencias de Capital a Empresas Privadas
75310,En Efectivo
75320,En Especie
77000,Transferencias de Capital al Sector Público No Financiero por Subsidios o Subven
77100,Transferencias de Capital al Órgano Ejecutivo del Estado Plurinacional por Subsi
77200,"Transferencias de Capital a los Órganos Legislativo, Judicial y Electoral, Entid"
77400,Transferencias de Capital a los Gobiernos Autónomos Departamentales y Regional p
77410,Al Gobierno Autónomo Departamental
77440,Al Gobierno Autónomo Regional
77500,Transferencias de Capital a los Gobiernos Autónomos Municipales e Indígena Origi
77520,Por Patentes Petroleras
77600,Transferencias de Capital a Instituciones de Seguridad Social por Subsidios o Su
77700,Transferencias de Capital a Empresas Públicas Nacionales por Subsidios o Subvenc
77800,Transferencias de Capital a Empresas Públicas de las Entidades Territoriales Aut
77810,A Empresas Públicas Departamentales
77820,A Empresas Públicas Municipales
77830,A Empresas Públicas Indígenas Originarias y Campesinas
77840,A Empresas Públicas Regionales
78000,Transferencias de Capital al Sector Público Financiero
78100,Transferencias de Capital a Instituciones Públicas Financieras No Bancarias
78200,Transferencias de Capital a Instituciones Públicas Financieras Bancarias
79000,"Transferencias a Gobiernos Extranjeros, Organismos Internacionales y otros"
79100,Transferencias  Corrientes  a  Gobiernos  Extranjeros  y  Organismos  Internacio
79200,Transferencias  Corrientes  a  Gobiernos  Extranjeros  y  Organismos  Internacio
79300,Otras Transferencias Corrientes al Exterior
79310,Transferencias al Exterior en Efectivo
79320,Transferencias al Exterior en Especie
79400,Transferencias de Capital al Exterior
79500,Transferencias a Organismos Internacionales
81000,Renta Interna
81100,Impuesto sobre las Utilidades de las Empresas
81200,Impuesto a las Transacciones
81300,Impuesto al Valor Agregado Mercado Interno
81400,Impuesto al Valor Agregado Importaciones
81500,Impuesto a los Consumos Específicos Mercado Interno
81600,Impuesto a los Consumos Específicos Importaciones
81700,Impuesto Especial a los Hidrocarburos y sus Derivados Mercado Interno
81800,Impuesto Especial a los Hidrocarburos y sus Derivados Importación
81900,Otros Impuestos
81910,Impuesto a las Salidas Aéreas al Exterior
81950,Impuesto a la Transmisión Gratuita de Bienes- ITGB
81960,Impuesto a las Transacciones Financieras – ITF
82000,Renta Aduanera
82100,Gravamen Arancelario
83000,Impuestos Municipales
83100,Impuesto a la Propiedad de Bienes
83110,Bienes Inmuebles
83120,Vehículos Automotores
83200,Impuesto a las Transferencias onerosas de bienes inmuebles y vehículos automotor
83210,Bienes Inmuebles
83220,Vehículos Automotores
84000,Regalías
84100,Regalías Mineras
84200,Regalías por Hidrocarburos
84230,6% Participación TGN
84240,11% Sobre Producción por Regalías Departamentales
84250,1% Sobre Producción para Regalías Compensatoria Departamental
84300,Regalías Agropecuarias
84900,Otras Regalías
85000,"Tasas, Multas y Otros"
85200,Derechos
85300,Contribuciones por Mejoras
85400,Multas
85500,Intereses Penales
86000,Patentes
86100,Patentes
91000,Intereses de Instituciones Financieras
91100,Intereses de Instituciones Públicas Financieras no Bancarias
91200,Intereses de Instituciones Públicas Financieras Bancarias
92000,Otros Gastos Financieros
92100,Gastos Financieros por Operaciones con Activos Virtuales
94000,Beneficios Sociales y Otros
94100,Indemnización
94200,Desahucio
94300,Otros Beneficios Sociales
95000,Contingencias Judiciales y otras
95100,Contingencias Judiciales y otras
96000,Otras Pérdidas y Devoluciones
96100,Pérdidas en Operaciones Cambiarias
96200,Devoluciones
96900,Otras Pérdidas
97000,Comisiones y Bonificaciones
97100,Comisiones por Ventas
97200,Bonificaciones por Ventas
98000,Retiros de Capital
98100,Del Sector Público
98200,Del Sector Privado
98300,Pago de Dividendos
99000,Previsiones para Gastos Corrientes y de Capital
99100,Previsiones para Gastos de Capital
99200,Previsiones para Gastos Corrientes
